country_code,region,TPM_early_phase_r_eff,TPM_late_phase_r_eff,TPM_reduction_r_eff,100th_case_date,day_control_started,control_duration,initial_intervention_period_end,youyangu_initial_r_0,youyanggu_post_mitigation_r,youyanggu_inflection_date,closed_border,closed_border_region,closed_border_schengen,closed_border_partial,limited_mvmt,school_closed,school_closed_weak,social_group_limits_recc,social_group_limits_1000,social_group_limits_500,social_group_limits_250,social_group_limits_100,social_group_limits_50,social_group_limits_10,social_group_limits_<10,contact_tracing,contact_tracing_weak,symp_screening_border,iso_trav,quar_trav,quar_trav_region,iso_susp,quar_susp,iso_confirmed,quar_confirm,iso_contacts,household_confined,household_confined_region,household_confined_recc,entertainment_closed,entertainment_closed_region,restaurant_closed,"
restaurant_closed_region",store_closed,store_closed_region,office_closed,office_closed_partial,public_space_closed,public_space_closed_region,state_of_emergency,masks,masks_region,nursing_homes_closed,nursing_homes_closed_region
AUS,,,,,,,,,1.1,0.72,2020-03-23,2020-03-20,,,,2020-03-26,,,,,2020-03-15,,,,,2020-03-30,2020-03-14,,,,2020-03-06,,,,,,,,,,,2020-03-23,,2020-03-23,,,,,,,2020-03-18,,,,
AUS,NSW,3,0.49,0.84,2020-03-14,15,13,2020-04-11,,,,2020-03-20,,,,2020-03-26,,,,,2020-03-15,,,,,2020-03-30,2020-03-14,,,,2020-03-06,,2020-03-06,,,,2020-03-06,,,,2020-03-23,,2020-03-23,,,,,,,,2020-03-18,,,,
AUT,,3.55,0.52,0.85,2020-03-20,8,32,2020-04-29,1.95,0.71,2020-03-13,,,,,,2020-03-16,,,,,,2020-03-10,,,2020-03-15,2020-03-23,2020-01-01,2020-04-23,,,,,,,,,2020-03-16,2020-03-15,,2020-03-16,,2020-03-16,,2020-03-16,,2020-03-16,,2020-03-16,,,2020-03-30,,,
NOR,,2.91,0.67,0.77,2020-03-06,18,24,2020-04-17,1.66,0.67,2020-03-16,2020-03-13,,,,,2020-03-12,,,,,,,,,,2020-03-13,,,,2020-03-13,,2020-03-13,,,,,,,,2020-03-12,,2020-03-12,,2020-03-12,,2020-03-18,,,,,,,2020-03-12,
DEU,,2.86,0.72,0.75,2020-03-01,21,26,2020-04-17,2.18,0.84,2020-03-17,,2020-03-17,,,,2020-03-13,,,2020-03-12,,,,2020-03-18,,2020-03-22,,,,,,2020-04-02,,,,,,,2020-03-23,,,2020-04-03,,2020-03-17,,2020-03-18,,,,2020-03-18,2020-03-17,,2020-04-22,,2020-03-17
DNK,,1.54,0.82,0.47,2020-03-09,9,29,2020-04-16,2.11,0.75,2020-03-11,2020-03-14,,,,,2020-03-16,,,,,,,,2020-03-18,,2020-02-27,,2020-03-12,2020-03-02,,,2020-02-27,,2020-02-27,,2020-02-27,,,,2020-03-13,,2020-03-18,,,2020-03-18,2020-03-13,,2020-04-24,,,,,2020-03-11,
USA,NY,5.35,0.84,0.84,2020-03-08,12,28,2020-04-17,3.70,0.85,2020-03-14,,,,,,2020-03-18,,,,,,,,,2020-03-22,,,,,,,,,,,,2020-03-22,,,2020-03-22,,2020-03-22,,,,,2020-03-19,,2020-04-01,2020-03-07,2020-04-17,,2020-03-12,
ITA,,2.77,0.85,0.69,2020-02-23,27,27,2020-04-17,2.52,0.92,2020-03-01,,,,,2020-03-22,2020-03-04,,,,,,,,,2020-03-09,,,2020-01-24,,,,,,,,,2020-03-10,,,2020-03-08,,,2020-03-08,,2020-03-11,2020-03-11,,2020-03-09,,2020-01-31,,,,
GBR,,3.28,0.92,0.72,2020-03-05,18,25,2020-04-17,2.46,0.93,2020-03-15,,,,,,2020-03-20,,,,,,,,,2020-03-23,2020-05-07,2020-05-05,,,,,2020-03-23,,2020-03-23,,2020-03-23,2020-03-23,,,2020-03-23,,2020-03-23,,2020-03-23,,,,,,,,,,
FRA,,2.73,1,0.63,2020-02-29,17,31,2020-04-17,1.69,0.85,2020-03-17,2020-03-16,,,,,2020-03-15,,,2020-03-09,,,2020-03-13,,,,,,,,,,,,,,,2020-03-16,,,2020-03-15,,2020-03-15,,,,,,2020-03-24,,2020-03-23,2020-04-06,,,2020-03-11
ESP,,4.68,1,0.79,2020-03-02,13,33,2020-04-17,3.23,0.83,2020-03-05,2020-03-16,,,,,2020-03-14,,,,,,,,,,,,,,,,2020-03-09,,,,,,2020-03-07,,2020-03-14,,2020-03-14,,,2020-03-13,,2020-03-15,,,2020-03-14,,,,2020-03-14
IRL,,2.26,1.24,0.45,2020-03-14,13,21,2020-04-17,1.65,0.77,2020-03-29,,,,,2020-04-06,2020-03-12,,,,,,,,,2020-03-24,2020-02-27,,,2020-03-16,,,,,,,,2020-03-27,,,2020-03-24,,2020-03-24,,2020-03-24,,2020-03-24,,2020-03-24,,2020-03-19,,,2020-03-12,
SGP,,1.46,2.12,-0.45,2020-02-29,38,10,2020-04-17,,,,2020-03-23,,,2020-01-29,,,,,,,,,,,,2020-01-23,,2020-01-03,,,,,,,,,,,,,,,,,,,,,,,,,,
HKG,,1.97,0.31,0.84,2020-03-02,33,13,2020-04-17,,,,2020-03-25,,,,,2020-01-25,,,,,,,,,2020-03-27,2020-02-03,,2020-01-31,,2020-02-08,,,2020-02-03,,2020-02-03,,,,,2020-01-25,,,,,,,,,,2020-01-25,,,,
ISL,,2.23,0.5,0.78,2020-03-12,12,24,2020-04-17,1.29,0.48,2020-03-21,,,2020-03-16,,,2020-03-13,,,,,,2020-03-13,,2020-03-24,,2020-03-02,,2020-01-24,2020-03-18,,,2020-03-02,,2020-03-02,,,,,,2020-03-24,,,,,,,,,,2020-03-06,,,,
CHE,,3.14,0.56,0.82,2020-03-05,11,32,2020-04-17,2.12,0.7672720873,2020-03-12,2020-03-13,,,,,2020-03-13,,,2020-02-28,,,2020-03-13,,,2020-03-21,,,,,,,2020-03-19,,2020-03-19,,,,,2020-03-16,2020-03-16,,2020-03-16,,2020-03-16,,,,,,2020-03-16,,,2020-03-14,
KOR,,2.98,0.68,0.77,2020-02-20,3,54,2020-04-17,1.79,0.78,2020-02-22,,,,2020-02-02,,2020-03-02,2020-02-12,,2020-02-26,,,,,,,2020-01-20,,2020-01-03,,,,2020-01-20,,,2020-01-20,2020-02-04,,,2020-03-22,2020-03-22,,,,,,,2020-02-04,2020-03-22,,2020-01-20,2020-02-12,,2020-03-13,
IRN,,4.27,0.87,0.80,2020-02-26,33,18,2020-04-17,2.31,0.87,2020-02-25,,,,,2020-03-27,2020-02-25,,,,,,,,,,,,,,,,,,,,,,,,2020-02-26,,,,2020-03-22,,,2020-04-20,2020-04-20,,,,,,
NLD,,2.28,0.91,0.60,2020-03-06,9,33,2020-04-17,2.42,0.86,2020-03-10,2020-03-18,,,,,2020-03-15,,,,,,2020-03-16,,,2020-03-23,,,2020-06-01,,,,,,,,,2020-03-23,,,2020-03-24,,2020-03-15,,,,,2020-03-12,2020-03-12,,,2020-06-01,,2020-03-19,
BEL,,2.83,0.93,0.67,2020-03-06,11,31,2020-04-17,2.36,0.80,2020-03-19,2020-03-20,,,,,2020-03-13,,,2020-03-10,,,,,,2020-03-17,,,,2020-03-25,,,,,,,,,,2020-03-13,2020-03-13,,2020-03-13,,2020-03-17,,,,,,,,,,
TUR,,3.97,1.01,0.75,2020-03-18,9,20,2020-04-16,1.68,0.75,2020-03-25,2020-01-23,,,,,,,,,,,,,,,,,2020-02-04,,2020-02-26,,,,,,,,,,,,,,,,,,,,,,,,
CAN,QC,5.37,1.1,0.80,2020-03-19,2,27,2020-04-17,,,,,,,,2020-03-19,,,,,,2020-03-12,,,,,,,,2020-03-14,,,2020-03-12,,,,,,,,2020-03-15,,,,,,,,,,2020-03-14,,,,
SWE,,2.8,0.94,0.66,2020-03-06,12,30,2020-04-17,1.83,0.94,2020-03-20,,,,,2020-03-18,,2020-03-21,,,2020-03-11,,,2020-03-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JPN,,2.16,1.25,0.42,2020-03-06,10,46,2020-05-01,1.20,0.95,2020-03-23,,,,2020-02-06,,2020-02-25,,2020-04-07,,,,,,,,,2020-01-22,2020-01-06,,,,2020-04-07,,,,,,2020-04-14,2020-04-07,,,,,,,,,,,2020-04-07,,,2020-02-28,
BRA,,2.92,1.32,0.55,2020-03-13,6,29,2020-04-17,1.42,1.05,2020-04-17,2020-03-27,,,,2020-03-20,2020-03-18,,,,2020-03-16,,,,,,,,,,,,,,,,,,2020-03-21,,2020-03-22,,,,2020-03-22,,,2020-03-19,,2020-03-17,2020-03-20,2020-05-04,,,
